id,Relaxation,safety,Familiarity,Crowding,Stayability,Stress Perception
16777,2,1,2,3,2,4
16778,2,1,2,2,1,4
16779,2,1,2,2,1,4
16780,2,1,2,2,2,3.8
16781,2,1,2,2,2,3.8
16782,4,2,2,2,3,3
16783,4,2,3,2,3,2.8
16784,4,2,2,2,3,3
16785,4,2,3,2,3,2.8
16786,4,2,2,2,3,3
16787,2,1,2,2,2,3.8
16788,2,1,2,2,2,3.8
16789,2,2,2,2,2,3.6
16790,3,2,2,2,3,3.2
16791,3,2,2,3,3,3.4
16792,3,2,2,3,3,3.4
16793,3,2,2,3,3,3.4
16794,3,2,2,3,3,3.4
16795,3,2,2,2,3,3.2
16796,2,1,2,3,2,4
16797,3,2,3,3,3,3.2
16799,2,1,2,3,2,4
16806,2,1,1,1,1,4
16807,2,1,2,3,4,3.6
16808,2,1,1,4,1,4.6
16809,2,1,1,4,1,4.6
16810,2,1,1,4,2,4.4
16811,2,1,1,3,1,4.4
16812,4,3,3,4,4,2.8
16813,3,2,2,3,2,3.6
16814,3,3,3,3,3,3
16815,3,3,2,3,3,3.2
16816,4,1,3,3,2,3.4
16817,4,2,3,3,2,3.2
16818,4,2,2,3,3,3.2
16819,2,1,2,4,1,4.4
16820,2,1,1,3,1,4.4
16821,2,1,2,2,1,4
16822,1,1,2,5,1,4.8
16823,2,1,1,2,1,4.2
16824,2,1,1,3,1,4.4
16825,2,1,1,3,1,4.4
16826,2,1,2,2,2,3.8
16827,3,3,3,3,3,3
16828,2,3,3,4,3,3.4
16829,4,3,3,4,4,2.8
16830,3,2,2,3,3,3.4
16831,4,2,2,3,2,3.4
16832,2,1,1,4,2,4.4
16833,3,1,1,3,2,4
16834,2,2,2,4,2,4
16835,2,1,1,3,1,4.4
16836,1,1,1,4,1,4.8
16837,2,1,1,5,1,4.8
16838,2,1,2,4,1,4.4
16839,4,1,2,3,1,3.8
16840,4,1,2,3,1,3.8
16841,3,1,2,2,2,3.6
16842,2,1,2,2,2,3.8
16843,2,1,2,3,2,4
16844,3,1,2,2,2,3.6
16845,4,1,2,2,3,3.2
16846,3,1,2,2,2,3.6
16847,4,1,2,2,2,3.4
16848,3,1,2,2,2,3.6
16849,2,1,2,2,2,3.8
16850,3,1,2,2,2,3.6
16851,2,1,2,2,2,3.8
16852,3,1,2,3,2,3.8
16853,4,1,2,3,1,3.8
16854,4,1,2,3,1,3.8
16855,4,1,2,3,1,3.8
16856,3,1,2,2,1,3.8
16857,2,1,2,2,1,4
16858,2,1,1,2,1,4.2
16859,1,1,1,5,1,5
16860,2,1,1,2,1,4.2
16861,2,1,1,3,1,4.4
16862,2,1,2,2,1,4
16863,4,1,2,3,2,3.6
16864,5,1,1,3,1,3.8
16865,3,1,2,2,2,3.6
16866,4,1,2,2,2,3.4
16867,4,1,2,3,1,3.8
16868,2,1,1,2,1,4.2
16869,4,1,2,3,1,3.8
16870,4,1,2,2,2,3.4
16871,2,1,1,4,1,4.6
16872,2,1,1,3,1,4.4
16873,2,1,1,4,2,4.4
16874,2,2,2,4,2,4
16875,2,1,1,3,2,4.2
16876,2,1,1,3,1,4.4
16877,2,1,2,3,1,4.2
16878,2,1,2,3,1,4.2
16879,2,1,1,3,1,4.4
16880,2,1,2,2,1,4
16881,2,1,2,3,1,4.2
16882,2,1,2,3,1,4.2
16883,2,1,1,2,1,4.2
16884,2,1,1,2,1,4.2
16885,2,1,2,3,1,4.2
16886,2,1,1,3,1,4.4
16887,2,1,1,3,1,4.4
16888,2,1,1,2,1,4.2
16889,2,1,1,2,1,4.2
16890,3,1,2,3,2,3.8
16891,2,1,1,3,1,4.4
16892,2,1,2,2,1,4
16893,2,1,2,2,1,4
16894,2,1,1,3,1,4.4
16895,2,1,1,3,1,4.4
16896,2,1,2,2,1,4
16897,2,1,1,4,2,4.4
16898,3,2,2,4,2,3.8
16899,2,1,1,4,2,4.4
16900,3,1,2,3,1,4
16902,2,1,1,4,1,4.6
16904,2,1,1,4,1,4.6
16905,2,1,1,3,1,4.4
16906,3,1,2,3,1,4
16907,2,1,1,4,1,4.6
16908,2,1,2,2,2,3.8
16909,3,1,2,3,2,3.8
16910,3,1,2,2,2,3.6
16912,2,1,1,3,1,4.4
16913,2,1,1,3,1,4.4
16914,4,1,2,3,1,3.8
16915,3,1,2,2,2,3.6
16916,3,1,2,3,2,3.8
16919,2,1,1,4,1,4.6
16923,2,1,1,2,1,4.2
16924,2,1,1,4,1,4.6
16925,2,1,1,4,1,4.6
16926,2,1,1,5,1,4.8
16927,2,1,1,4,1,4.6
16930,3,1,1,4,1,4.4
16931,3,1,1,4,2,4.2
16932,2,1,1,3,1,4.4
16933,4,1,2,3,2,3.6
16935,2,1,2,2,2,3.8
16936,3,1,2,2,1,3.8
16937,3,1,2,2,2,3.6
16941,2,1,2,2,1,4
16942,2,1,1,4,1,4.6
16943,3,2,2,3,3,3.4
16944,3,1,1,2,2,3.8
16945,2,1,1,3,2,4.2
16946,2,1,1,3,2,4.2
16947,2,1,2,3,2,4
16948,2,1,1,3,1,4.4
16949,2,1,1,5,1,4.8
16950,2,1,2,4,2,4.2
16951,2,1,1,3,1,4.4
16952,2,1,1,2,1,4.2
16953,2,1,1,3,1,4.4
16954,2,1,1,3,1,4.4
16955,2,1,1,3,1,4.4
16956,2,1,1,3,1,4.4
16957,2,1,2,2,1,4
16958,2,1,2,2,2,3.8
16959,2,2,2,2,1,3.8
16960,2,1,2,2,2,3.8
16961,2,1,2,3,1,4.2
16962,2,1,1,2,1,4.2
16963,3,1,2,2,2,3.6
16964,3,1,2,2,1,3.8
16965,2,1,1,3,2,4.2
16966,3,1,1,2,2,3.8
16967,3,1,2,2,2,3.6
16968,3,1,2,3,2,3.8
16969,3,1,2,3,2,3.8
16970,2,1,2,2,1,4
16971,3,1,2,2,2,3.6
16972,2,1,2,2,1,4
16973,2,1,1,2,1,4.2
16974,2,1,2,2,2,3.8
16975,2,1,1,2,1,4.2
16976,2,1,1,2,1,4.2
16977,2,1,1,2,1,4.2
16978,2,1,2,2,1,4
16979,2,1,2,2,1,4
16980,2,1,1,2,1,4.2
16981,4,1,2,3,1,3.8
16982,2,1,1,2,1,4.2
16983,2,1,1,2,1,4.2
16984,2,1,1,2,1,4.2
16985,2,1,1,2,1,4.2
16986,2,1,1,2,1,4.2
16987,3,1,2,3,2,3.8
16988,1,1,1,5,1,5
16989,2,1,1,2,2,4
16990,2,1,2,2,2,3.8
16991,2,1,1,3,1,4.4
16992,3,2,2,3,2,3.6
16993,3,1,2,2,2,3.6
16994,3,1,2,3,2,3.8
16995,3,1,2,3,2,3.8
16996,3,1,2,3,2,3.8
16997,2,2,2,4,2,4
16998,2,2,2,3,2,3.8
16999,3,2,3,3,4,3
17000,3,3,3,3,4,2.8
17001,4,3,3,3,4,2.6
17002,3,4,4,3,4,2.4
17003,3,3,3,3,4,2.8
17004,3,3,3,4,3,3.2
17005,2,2,2,2,2,3.6
17006,3,2,2,3,3,3.4
17007,3,1,2,3,2,3.8
17008,3,2,2,3,2,3.6
17009,2,2,2,2,2,3.6
17010,2,1,2,2,2,3.8
17011,2,1,2,2,1,4
17012,2,1,2,2,2,3.8
17013,2,1,2,2,2,3.8
17014,2,1,1,3,1,4.4
17015,2,1,1,3,1,4.4
17016,2,1,1,3,1,4.4
17017,2,1,1,3,1,4.4
17018,1,1,1,5,1,5
17019,2,1,1,3,1,4.4
17020,1,2,1,3,1,4.4
17021,2,2,1,3,2,4
17022,3,3,3,4,4,3
17023,2,1,1,4,1,4.6
17024,2,2,1,4,2,4.2
17025,3,2,1,4,2,4
17026,3,3,2,3,3,3.2
17027,3,3,3,4,4,3
17028,3,4,4,4,4,2.6
17029,2,3,3,4,3,3.4
17030,2,3,3,4,3,3.4
17031,2,2,2,3,3,3.6
17032,3,3,3,3,4,2.8
17033,3,3,3,3,4,2.8
17034,3,3,3,3,3,3
17035,3,3,2,3,3,3.2
17036,4,2,3,3,4,2.8
17037,3,2,2,3,4,3.2
17038,3,2,2,3,3,3.4
17039,3,2,2,3,3,3.4
17040,3,3,2,3,3,3.2
17041,2,3,3,3,3,3.2
17042,3,3,3,3,4,2.8
17043,2,1,1,3,2,4.2
17044,2,1,2,2,2,3.8
17045,2,1,2,2,1,4
17046,4,2,2,3,4,3
17047,3,3,3,2,3,2.8
17055,2,2,1,3,2,4
17056,2,2,1,3,2,4
17060,3,3,3,4,4,3
17064,4,2,3,3,4,2.8
17065,3,3,4,3,4,2.6
17066,4,2,3,3,2,3.2
17067,4,2,3,3,4,2.8
17068,3,3,3,3,4,2.8
17069,3,3,3,3,4,2.8
17070,3,3,3,3,4,2.8
17071,3,3,4,3,4,2.6
17072,3,3,3,3,3,3
17073,3,3,3,3,4,2.8
17074,3,3,3,4,3,3.2
17075,2,2,1,4,3,4
17076,2,2,1,3,2,4
17077,2,2,2,4,3,3.8
17078,2,1,1,2,1,4.2
17079,4,3,3,4,5,2.6
17080,3,4,4,4,4,2.6
17081,3,4,4,4,4,2.6
17082,3,4,3,4,5,2.6
17083,4,4,3,4,5,2.4
17084,3,3,3,4,4,3
17085,3,3,3,4,3,3.2
17086,3,1,2,3,2,3.8
17087,2,2,2,4,2,4
17088,1,1,2,5,2,4.6
17089,2,1,1,4,1,4.6
17090,3,3,3,3,3,3
17091,2,2,3,4,1,4
17092,2,1,2,3,1,4.2
17093,2,1,1,3,1,4.4
17094,2,1,2,2,1,4
17095,2,1,3,3,2,3.8
17096,2,1,1,4,1,4.6
17097,1,4,3,3,1,3.6
17098,1,4,1,4,1,4.2
17099,2,1,2,2,1,4
17100,2,2,3,4,1,4
17101,2,1,1,3,2,4.2
17102,1,2,3,4,1,4.2
17103,4,2,2,2,3,3
17104,4,2,2,2,3,3
17105,4,1,3,2,3,3
17106,4,1,3,2,3,3
17107,4,2,3,3,3,3
17108,4,2,3,2,3,2.8
17109,4,1,2,2,3,3.2
17110,4,1,3,3,3,3.2
17111,4,3,3,3,4,2.6
17112,3,3,3,3,4,2.8
17113,2,2,2,2,2,3.6
17114,4,2,3,3,4,2.8
17115,3,3,4,4,4,2.8
17116,3,3,3,4,4,3
17117,3,2,3,3,4,3
17118,4,2,2,3,3,3.2
17119,4,2,3,4,4,3
17120,4,2,2,3,3,3.2
17121,4,4,3,4,5,2.4
17122,4,4,4,4,4,2.4
17123,3,3,3,4,4,3
17124,3,3,3,4,3,3.2
17125,3,3,3,4,4,3
17126,3,3,4,4,3,3
17127,3,4,3,4,4,2.8
17128,2,2,2,5,2,4.2
17129,2,1,2,2,1,4
17130,2,3,2,4,1,4
17131,2,1,2,2,1,4
17132,2,1,3,4,3,3.8
17133,2,2,3,3,2,3.6
17134,2,1,2,3,1,4.2
17135,2,1,2,2,1,4
17136,2,1,3,4,3,3.8
17137,2,1,3,4,3,3.8
17138,2,1,2,2,1,4
17139,2,1,2,2,1,4
17140,2,2,3,4,1,4
17141,2,1,2,2,1,4
17142,1,1,1,4,1,4.8
17143,2,2,2,4,2,4
17144,3,3,3,3,3,3
17145,3,3,3,3,4,2.8
17146,4,3,4,3,4,2.4
17147,4,3,3,3,4,2.6
17148,4,3,3,3,4,2.6
17149,4,3,3,3,4,2.6
17150,4,3,3,3,4,2.6
17151,4,2,3,3,4,2.8
17152,4,3,3,3,5,2.4
17153,4,2,3,3,4,2.8
17154,4,2,3,3,4,2.8
17155,4,2,3,3,4,2.8
17156,2,2,3,3,2,3.6
17157,2,1,2,2,1,4
17158,2,1,2,2,1,4
17159,2,1,2,2,1,4
17160,2,1,2,2,1,4
17161,2,2,3,3,2,3.6
17162,2,2,3,4,1,4
17163,2,1,1,4,2,4.4
17164,2,1,2,2,1,4
17165,2,1,2,2,1,4
17166,4,3,3,4,4,2.8
17167,3,3,3,3,4,2.8
17168,4,3,3,4,4,2.8
17169,4,4,4,3,4,2.2
17170,3,3,3,3,4,2.8
17171,3,3,3,3,4,2.8
17172,3,3,3,4,4,3
17173,2,1,1,3,1,4.4
17174,2,1,1,3,1,4.4
17175,2,1,1,3,1,4.4
17176,2,1,1,5,2,4.6
17177,4,3,3,3,3,2.8
17178,2,2,2,4,2,4
17179,3,3,3,3,3,3
17180,2,3,3,3,3,3.2
17181,3,3,3,3,4,2.8
17182,4,2,3,3,4,2.8
17183,3,3,3,3,4,2.8
17184,3,2,3,3,4,3
17185,3,3,2,3,3,3.2
17186,3,3,3,3,4,2.8
17187,3,3,3,3,4,2.8
17188,3,2,3,2,3,3
17189,4,3,3,3,4,2.6
17190,3,3,3,3,4,2.8
17191,3,3,3,3,3,3
17192,2,1,2,5,2,4.4
17193,3,3,3,3,3,3
17194,3,3,3,3,3,3
17195,3,3,3,3,4,2.8
17196,3,3,3,3,4,2.8
17197,3,3,3,3,4,2.8
17198,3,3,3,3,4,2.8
17199,2,3,3,3,3,3.2
17200,2,1,3,5,2,4.2
17201,2,2,3,4,3,3.6
17202,2,2,3,4,3,3.6
17203,3,2,3,4,3,3.4
17204,2,1,2,2,1,4
17205,3,3,3,3,3,3
17206,2,2,1,3,1,4.2
17207,2,1,1,3,1,4.4
17208,2,1,1,3,1,4.4
17209,2,2,1,3,2,4
17210,3,1,2,3,2,3.8
17211,2,2,2,2,2,3.6
17212,2,2,2,2,2,3.6
17213,2,2,2,4,2,4
17214,2,2,2,3,2,3.8
17215,2,2,2,3,2,3.8
17216,3,3,3,3,3,3
17217,3,3,3,3,3,3
17218,3,3,3,3,3,3
17219,4,3,4,3,4,2.4
17220,3,3,4,3,4,2.6
17221,3,3,3,3,4,2.8
17222,3,3,3,3,3,3
17223,3,4,4,4,4,2.6
17224,3,4,4,4,4,2.6
17225,4,4,4,4,4,2.4
17226,4,4,4,4,4,2.4
17227,3,4,4,4,4,2.6
17228,2,2,2,3,2,3.8
17229,2,1,2,5,2,4.4
17230,2,1,3,5,2,4.2
17231,3,3,3,4,4,3
17232,1,1,2,5,2,4.6
17233,3,4,4,4,4,2.6
17234,3,4,4,4,4,2.6
17235,1,1,2,5,2,4.6
17236,3,3,3,3,4,2.8
17237,4,4,3,4,5,2.4
17238,2,1,2,4,2,4.2
17239,2,1,3,3,2,3.8
17240,3,3,3,3,4,2.8
17241,3,3,3,3,3,3
17242,3,3,3,3,3,3
17243,2,3,3,4,3,3.4
17244,3,3,3,4,3,3.2
17245,4,4,4,4,5,2.2
17246,4,4,4,4,4,2.4
17247,4,4,4,4,4,2.4
17248,4,4,4,4,5,2.2
17249,4,4,4,4,5,2.2
17250,3,3,3,3,4,2.8
17251,3,4,3,3,4,2.6
17252,4,3,3,3,4,2.6
17253,4,2,3,3,4,2.8
17254,4,3,3,3,4,2.6
17255,3,3,3,3,4,2.8
17256,3,2,2,3,3,3.4
17257,2,3,3,4,2,3.6
17258,2,1,1,5,1,4.8
17259,1,1,3,5,2,4.4
17260,1,1,3,5,2,4.4
17261,1,1,3,4,2,4.2
17262,1,1,3,3,1,4.2
17263,2,2,3,3,2,3.6
17264,1,1,1,4,2,4.6
17265,2,1,2,2,1,4
17266,3,4,4,4,4,2.6
17267,3,4,4,4,4,2.6
17268,4,4,4,4,5,2.2
17269,4,5,3,4,4,2.4
17270,4,4,3,4,4,2.6
17271,4,3,3,4,5,2.6
17272,4,3,3,3,4,2.6
17273,4,3,3,3,4,2.6
17274,4,2,3,3,4,2.8
17275,3,1,2,2,2,3.6
17276,3,2,2,3,2,3.6
17277,3,3,3,3,4,2.8
17278,4,3,3,3,4,2.6
17279,3,2,3,3,4,3
17280,4,3,3,3,4,2.6
17281,3,2,3,3,4,3
17282,4,3,3,3,4,2.6
17283,3,3,3,3,4,2.8
17284,4,2,3,4,3,3.2
17285,3,2,3,3,4,3
17286,3,3,3,3,4,2.8
17287,3,3,3,3,4,2.8
17288,3,3,3,3,4,2.8
17289,2,1,2,3,1,4.2
17290,2,1,2,2,1,4
17291,2,1,2,2,1,4
17292,2,1,3,4,2,4
17293,2,1,2,2,1,4
17294,2,1,2,2,1,4
17295,2,1,3,3,2,3.8
17296,2,1,1,2,1,4.2
17297,2,1,3,5,2,4.2
17298,2,1,3,5,2,4.2
17299,2,1,3,5,2,4.2
17300,2,1,2,2,1,4
17301,4,3,3,3,4,2.6
17302,4,2,3,3,4,2.8
17303,4,3,3,3,4,2.6
17304,3,4,4,4,4,2.6
17305,4,3,3,3,4,2.6
17306,3,3,3,3,4,2.8
17307,3,3,3,3,4,2.8
17308,3,3,4,3,4,2.6
17309,3,3,4,3,4,2.6
17310,3,3,3,3,3,3
17311,3,3,3,4,3,3.2
17312,3,3,3,4,3,3.2
17313,3,3,3,3,3,3
17314,3,3,3,4,4,3
17315,3,3,3,4,3,3.2
17316,2,3,3,4,3,3.4
17317,2,3,3,4,3,3.4
17318,3,3,4,4,4,2.8
17319,2,1,2,2,1,4
17320,2,1,2,2,1,4
17321,2,1,2,2,1,4
17322,2,1,1,4,1,4.6
17323,2,1,1,2,2,4
17324,2,1,1,5,2,4.6
17325,2,1,2,4,1,4.4
17326,3,3,4,4,4,2.8
17327,3,4,4,3,4,2.4
17328,4,2,3,3,4,2.8
17329,3,2,3,3,4,3
17330,3,3,3,3,4,2.8
17331,3,4,4,4,3,2.8
17332,2,2,2,3,2,3.8
17333,4,3,4,3,4,2.4
17334,4,3,3,3,3,2.8
17335,3,3,3,3,3,3
17336,4,3,3,3,4,2.6
17337,4,3,3,3,4,2.6
17338,3,3,3,3,3,3
17339,2,3,3,3,2,3.4
17340,2,3,3,3,3,3.2
17349,3,3,3,4,3,3.2
17352,2,2,3,3,2,3.6
17353,3,3,3,2,3,2.8
17354,3,3,3,3,3,3
17355,3,3,3,3,3,3
17356,3,3,2,3,3,3.2
17357,3,3,3,3,3,3
17358,2,2,2,2,2,3.6
17359,2,2,2,5,2,4.2
17360,2,2,2,4,2,4
17361,2,2,3,3,2,3.6
17362,2,2,2,4,2,4
17363,2,2,2,3,2,3.8
17364,2,2,2,3,2,3.8
17365,2,2,2,4,2,4
17366,2,2,2,4,2,4
17367,2,2,2,4,2,4
17368,2,2,2,5,2,4.2
17371,3,3,3,3,4,2.8
17372,2,2,2,5,2,4.2
17373,2,1,2,5,2,4.4
17376,3,3,3,3,4,2.8
17380,3,3,2,3,3,3.2
17381,3,3,3,3,4,2.8
17382,3,3,3,3,4,2.8
17383,3,3,3,3,4,2.8
17384,3,3,3,3,3,3
17385,3,3,2,3,4,3
17386,3,3,3,3,4,2.8
17387,2,3,3,4,3,3.4
17388,2,2,2,4,2,4
17389,3,3,2,3,4,3
17390,2,1,2,3,2,4
17391,2,1,2,3,2,4
17392,2,1,2,3,2,4
17393,1,1,2,5,2,4.6
17397,3,2,2,3,3,3.4
17398,3,3,3,3,3,3
17399,3,3,3,3,3,3
17401,4,2,3,3,4,2.8
17402,3,3,3,3,4,2.8
17403,4,3,3,3,4,2.6
17404,4,2,3,3,4,2.8
17405,4,2,3,3,4,2.8
17406,4,2,3,2,4,2.6
17407,3,3,4,3,4,2.6
17408,2,2,3,3,2,3.6
17409,2,1,2,2,1,4
17410,3,3,3,3,4,2.8
17411,3,3,3,3,3,3
17412,4,3,3,3,4,2.6
17413,2,1,1,2,1,4.2
17414,2,1,2,2,1,4
17415,2,1,1,4,1,4.6
17416,3,2,2,3,3,3.4
17417,3,2,2,3,3,3.4
17418,3,3,3,3,3,3
17419,3,3,3,3,4,2.8
17420,3,3,3,3,4,2.8
17421,3,3,3,3,3,3
17422,2,2,1,3,2,4
17423,3,2,2,4,3,3.6
17424,3,2,3,3,4,3
17425,3,3,3,3,3,3
17426,2,2,3,3,2,3.6
17427,4,2,2,3,4,3
17428,3,3,3,3,4,2.8
17429,3,3,3,3,4,2.8
17430,3,3,3,4,3,3.2
17431,4,2,2,4,2,3.6
17432,4,2,3,3,2,3.2
17433,3,2,2,4,3,3.6
17434,4,2,3,4,2,3.4
17435,2,2,2,3,2,3.8
17436,3,2,2,3,3,3.4
17437,2,2,2,3,2,3.8
17438,2,2,2,3,3,3.6
17439,3,2,1,3,2,3.8
17440,1,1,1,4,2,4.6
17441,1,1,4,4,2,4
17442,1,2,1,4,2,4.4
17443,3,2,2,4,3,3.6
17444,2,2,1,4,2,4.2
17445,3,1,1,4,4,3.8
17446,2,2,2,4,1,4.2
17447,3,3,3,4,3,3.2
17448,3,4,4,4,4,2.6
17449,2,3,2,4,4,3.4
17450,4,4,4,4,4,2.4
17451,4,4,4,4,5,2.2
17452,2,2,3,5,4,3.6
17453,2,3,2,4,3,3.6
17454,4,3,3,4,4,2.8
17455,3,1,2,4,3,3.8
17456,4,2,3,3,4,2.8
17457,5,2,3,3,5,2.4
17458,4,2,3,3,4,2.8
17459,4,1,3,3,5,2.8
17460,4,4,4,3,4,2.2
17461,4,4,4,3,5,2
17462,4,3,4,3,5,2.2
17463,4,3,4,3,5,2.2
17464,3,3,3,3,4,2.8
17465,4,4,4,3,4,2.2
17466,4,4,4,3,4,2.2
17467,4,3,3,3,4,2.6
17468,3,4,4,3,4,2.4
17469,3,4,4,3,4,2.4
17470,3,4,4,3,4,2.4
17471,3,4,4,3,4,2.4
17472,4,4,4,3,4,2.2
17473,3,4,4,4,4,2.6
17474,3,3,3,4,3,3.2
17475,3,4,3,3,3,2.8
17476,2,3,3,3,3,3.2
17477,3,3,4,3,4,2.6
17478,3,4,4,2,4,2.2
17479,3,4,4,3,4,2.4
17480,3,4,4,3,4,2.4
17481,4,4,4,3,4,2.2
17482,4,4,4,2,4,2
17483,4,3,4,3,5,2.2
17484,4,4,4,3,5,2
17485,3,3,3,2,3,2.8
17486,4,4,4,3,4,2.2
17487,4,4,4,3,4,2.2
17488,4,4,4,3,4,2.2
17489,4,4,4,3,4,2.2
17490,3,4,4,3,4,2.4
17491,4,3,4,3,4,2.4
17492,4,4,4,3,4,2.2
17493,2,2,2,4,2,4
17494,2,1,1,4,2,4.4
17495,1,3,1,4,2,4.2
17496,1,1,3,5,2,4.4
17497,2,2,2,3,2,3.8
17498,2,2,2,3,2,3.8
17499,1,1,3,4,1,4.4
17500,2,1,2,3,2,4
17501,3,3,4,3,4,2.6
17502,3,3,3,4,3,3.2
17503,3,3,3,3,3,3
17504,3,3,4,4,3,3
17505,2,3,3,3,3,3.2
17506,3,4,3,3,4,2.6
17507,2,3,3,3,3,3.2
17508,2,3,3,3,2,3.4
17509,2,2,2,4,2,4
17510,2,3,3,4,2,3.6
17511,2,3,3,4,2,3.6
17512,3,3,3,3,3,3
17513,3,4,4,4,4,2.6
17514,4,4,4,4,4,2.4
17515,4,4,4,4,5,2.2
17516,4,4,4,4,5,2.2
17517,3,4,3,4,4,2.8
17518,3,4,4,4,5,2.4
17519,3,3,4,3,4,2.6
17520,3,4,4,3,4,2.4
17521,2,3,3,4,3,3.4
17522,2,3,3,4,2,3.6
17523,2,3,3,4,2,3.6
17524,2,3,3,4,3,3.4
17525,2,2,3,4,2,3.8
17526,2,2,2,3,2,3.8
17527,2,2,2,2,2,3.6
17528,2,2,2,2,2,3.6
17529,2,2,2,2,2,3.6
17530,2,1,2,2,2,3.8
17531,2,2,2,2,2,3.6
17532,2,3,3,3,2,3.4
17533,2,1,1,2,1,4.2
17534,2,3,3,3,1,3.6
17535,2,2,3,4,2,3.8
17536,3,4,4,3,3,2.6
17537,2,2,3,4,3,3.6
17538,2,1,2,5,2,4.4
17539,2,2,3,4,2,3.8
17540,1,3,1,5,2,4.4
17541,1,1,1,5,2,4.8
17542,4,4,4,4,5,2.2
17543,3,4,4,4,4,2.6
17544,3,4,4,4,4,2.6
17545,2,4,4,4,4,2.8
17546,2,2,3,3,3,3.4
17547,2,1,1,4,1,4.6
17548,2,1,1,3,2,4.2
17549,1,1,1,5,1,5
17550,2,1,1,3,2,4.2
17551,2,1,2,2,2,3.8
17552,3,3,2,4,3,3.4
17553,3,3,2,3,4,3
17554,3,3,2,4,3,3.4
17555,2,2,2,4,2,4
17556,3,3,3,4,3,3.2
17557,3,3,4,4,4,2.8
17558,3,4,3,4,3,3
17559,2,1,1,3,2,4.2
17560,2,2,2,3,2,3.8
17561,2,2,2,2,2,3.6
17562,3,4,4,4,4,2.6
17563,3,5,3,4,4,2.6
17564,3,4,4,4,4,2.6
17565,2,1,3,4,3,3.8
17566,2,1,2,2,1,4
17567,2,2,2,3,2,3.8
17568,2,2,2,3,2,3.8
17573,3,2,3,4,1,3.8
17574,3,4,4,4,4,2.6
17575,4,4,4,4,4,2.4
17577,2,2,3,3,2,3.6
17578,3,3,3,4,4,3
17579,4,4,3,3,4,2.4
17580,3,4,3,3,4,2.6
17581,1,3,1,4,1,4.4
17582,3,4,4,4,2,3
17583,3,4,4,3,4,2.4
17584,3,4,3,4,4,2.8
17585,3,4,4,3,4,2.4
17586,3,3,1,4,3,3.6
17587,2,1,2,3,2,4
17588,2,1,2,2,2,3.8
17589,3,4,3,4,3,3
17590,3,4,4,4,4,2.6
17591,3,4,4,4,4,2.6
17592,3,3,3,4,4,3
17593,3,3,3,3,4,2.8
17594,4,2,2,4,4,3.2
17595,4,3,3,4,4,2.8
17596,3,4,4,3,4,2.4
17597,3,3,2,4,3,3.4
17598,3,3,3,4,4,3
17604,4,3,3,4,4,2.8
17605,4,3,3,4,4,2.8
17606,4,3,3,4,4,2.8
17607,4,2,3,4,4,3
17608,4,3,3,4,4,2.8
17609,2,3,2,5,2,4
17610,2,2,2,5,3,4
17611,4,3,3,4,4,2.8
17612,3,3,3,3,3,3
17613,3,3,3,3,3,3
17614,3,3,3,3,3,3
17615,2,1,1,5,1,4.8
17616,1,2,2,5,1,4.6
17617,2,1,2,4,2,4.2
17618,2,3,3,4,3,3.4
17619,2,1,2,5,2,4.4
17620,3,4,4,4,4,2.6
17621,4,3,2,4,4,3
17622,4,3,3,4,4,2.8
17623,4,3,3,4,4,2.8
17624,4,3,3,4,4,2.8
17625,4,1,3,4,5,3
17626,4,1,3,4,4,3.2
17627,2,3,2,3,2,3.6
17628,2,3,2,4,3,3.6
17629,3,4,3,4,4,2.8
17630,4,4,4,4,4,2.4
17631,3,3,3,3,4,2.8
17632,3,3,3,3,4,2.8
17633,2,3,3,3,3,3.2
17635,3,4,3,4,4,2.8
17636,3,4,2,4,5,2.8
17637,3,3,4,3,4,2.6
17638,2,2,3,4,3,3.6
17639,4,4,4,4,5,2.2
17640,3,4,4,4,5,2.4
17641,4,4,3,4,5,2.4
17642,3,3,3,3,3,3
17643,4,3,2,4,4,3
17647,4,4,4,4,4,2.4
17648,4,3,3,4,4,2.8
17649,4,3,3,4,4,2.8
17652,2,2,3,3,3,3.4
17653,3,4,3,3,1,3.2
17654,2,4,3,3,2,3.2
17655,2,1,2,3,2,4
17656,4,3,3,3,4,2.6
17657,4,3,3,4,4,2.8
17658,4,4,4,4,5,2.2
17659,4,4,4,3,4,2.2
17660,4,3,3,3,4,2.6
17662,4,4,4,4,5,2.2
17663,4,3,3,3,4,2.6
17664,2,1,2,2,2,3.8
17665,2,1,1,3,2,4.2
17666,4,3,3,4,5,2.6
17667,4,4,4,3,4,2.2
17668,4,3,4,4,5,2.4
17669,4,3,5,4,5,2.2
17670,3,4,3,4,4,2.8
17671,3,3,1,4,4,3.4
17672,4,3,3,4,4,2.8
17673,3,3,3,4,4,3
17674,3,3,3,4,3,3.2
17675,2,2,2,5,2,4.2
17676,3,5,2,5,3,3.2
17677,3,4,4,5,3,3
17678,3,4,4,4,4,2.6
17679,4,4,4,4,4,2.4
17680,4,4,4,4,4,2.4
17681,3,3,3,4,4,3
17682,4,2,3,3,5,2.6
17683,3,4,4,3,4,2.4
17684,3,3,3,3,4,2.8
17687,3,3,3,4,4,3
17691,4,2,3,3,4,2.8
17692,4,2,3,3,4,2.8
17693,4,2,3,3,4,2.8
17694,3,3,3,3,4,2.8
17695,2,2,2,3,2,3.8
17696,2,1,2,4,4,3.8
