id,lng,lat,GS exposure
0,121.490727,31.37620006,0.000552083
1,121.4904727,31.37470948,0.334573743
2,121.4900018,31.37447509,0.266912326
3,121.489531,31.37424069,0.286506944
4,121.4911222,31.37440531,0.028381076
5,121.4914105,31.37515757,0.397736112
6,121.4918813,31.37538433,0.375259548
7,121.4923488,31.37561775,0.365128472
8,121.4928079,31.3758694,0.120320313
9,121.487798,31.37467366,0.083177083
10,121.4884093,31.37430554,0.004575521
11,121.4877797,31.37485514,0.0538125
12,121.4883094,31.37487483,0.204743055
13,121.4888295,31.37455139,0.002400174
14,121.4885326,31.3741331,0.274858508
15,121.4883638,31.37504407,0.065516494
16,121.4892957,31.3754424,0.222414931
17,121.4897655,31.37567667,0.182911462
18,121.4902134,31.375951,0.189415799
19,121.4937135,31.37477464,0.051790799
20,121.4925944,31.37714534,0
21,121.4934927,31.3772128,0.429019966
22,121.4939396,31.37748768,0.392986979
23,121.4947277,31.37772274,0.149023438
24,121.4952012,31.37804146,0
25,121.4953627,31.37784633,0.277223091
26,121.4958291,31.37825508,0
27,121.4968533,31.37847606,0.000128472
28,121.4973735,31.37854628,0
29,121.4978861,31.378663,0.004859375
30,121.4925134,31.3762971,0.047939235
31,121.4927374,31.37525902,0.002185764
32,121.4923073,31.37496251,0.10401997
33,121.4918365,31.37472852,0.122822096
34,121.4913694,31.37448771,0.038444404
35,121.4928712,31.37585751,0.120320313
36,121.4934778,31.37682328,0.34077257
37,121.4933545,31.37614917,0.340980903
38,121.4928872,31.37590824,0.124560764
39,121.4940471,31.375954,0.007986111
40,121.4938506,31.37539879,0.008352431
41,121.4943564,31.37555017,0.008352431
42,121.4941827,31.3748245,0.131161459
43,121.4948311,31.37589164,0.037231771
44,121.494346,31.37569124,0.008407118
45,121.4953404,31.37493846,0.192927952
48,121.4954179,31.37603791,0.001775173
49,121.4958041,31.37727069,0.018017371
50,121.4953111,31.37710152,0.020885416
51,121.4948354,31.37688951,0.379394965
52,121.4943687,31.37665864,0.436381944
53,121.4938905,31.37644224,0.102053819
54,121.4964951,31.37782052,0.224717882
55,121.4963624,31.37831476,0.000709201
56,121.4957026,31.37642636,0.077003472
57,121.4961612,31.37668017,0.001474827
58,121.4961828,31.37577687,0.027451344
59,121.4986564,31.37872208,0
60,121.4991817,31.37874239,0.001028646
61,121.4997077,31.37874244,0.001215278
62,121.5002336,31.37874249,0
63,121.5007596,31.37874253,0
64,121.5012855,31.37874011,0.000287326
65,121.5018063,31.37867354,0
66,121.5023305,31.37864301,0
67,121.5028564,31.37863716,0
68,121.5033786,31.37859436,0.00000868
69,121.5038835,31.37845156,0
70,121.5044038,31.37837627,0
71,121.5049273,31.37833447,0
72,121.505451,31.37828898,0.006979167
73,121.5059745,31.37823964,0
74,121.5064818,31.37813814,0.316833334
75,121.4980222,31.37909355,0
76,121.4982222,31.37912369,0.000842014
77,121.4967001,31.37657166,0.037024303
78,121.4966574,31.3755344,0.309432292
79,121.4965204,31.37504458,0.078517361
80,121.4961813,31.37464703,0.118061632
81,121.4957651,31.37433589,0.236310765
82,121.4953437,31.37402965,0.184157986
83,121.5071242,31.37797319,0
84,121.5070156,31.37785559,0.309999133
85,121.5113106,31.37752106,0.053791667
86,121.5118357,31.37750285,0.053950517
87,121.5123558,31.3774329,0.038297743
88,121.5128743,31.37736531,0.051193577
89,121.5133972,31.37732161,0.119140625
90,121.5139196,31.37726571,0.100859375
91,121.5144421,31.37721415,0.1430625
92,121.5149649,31.37717796,0.107716146
93,121.5154831,31.37711067,0.177384548
94,121.5160016,31.37705613,0.230513021
95,121.5165215,31.37700801,0.145625
96,121.5170342,31.37691013,0.142520833
97,121.5175515,31.37684452,0.150112848
98,121.5180727,31.37679578,0.186644965
99,121.5185856,31.37670339,0.276182291
100,121.5191015,31.3766332,0.24208941
101,121.5196238,31.37658773,0.232077257
102,121.5201384,31.37649937,0.171701389
103,121.5206541,31.37642346,0.096882813
104,121.5211741,31.37634948,0.181111112
105,121.5216953,31.37629209,0.087275174
106,121.5107466,31.37758443,0.082442708
107,121.5107324,31.37741695,0.257355085
108,121.5097145,31.37764911,0.356501736
109,121.5112061,31.37719,0.235466147
110,121.5116575,31.37692784,0.361081634
111,121.5121514,31.37675638,0.112281246
112,121.5094211,31.3776267,0.436029514
113,121.5091207,31.37782752,0.078632852
114,121.5084575,31.37731472,0.377639757
115,121.5079584,31.37715501,0.194756076
116,121.5075078,31.37689516,0.297697917
117,121.5071392,31.37652242,0.298653646
118,121.5068189,31.3761065,0.209920174
119,121.5065043,31.37568579,0.097074653
120,121.506177,31.37527399,0.052728299
121,121.5058359,31.37487398,0.010434896
122,121.5054982,31.37447146,0.066476563
123,121.505177,31.37405544,0.000559028
124,121.5048557,31.37364256,0.001971353
125,121.5045163,31.37324163,0.071991319
126,121.5041578,31.37285766,0.005559027
127,121.5077093,31.37778382,0.371964409
128,121.5082293,31.37772113,0.441360243
129,121.5087553,31.37772274,0.416544271
130,121.5119448,31.37627745,0.304902778
131,121.5118548,31.37576027,0.381521702
132,121.5117473,31.37524642,0.721838546
133,121.5116523,31.3747305,0.408136285
134,121.5114911,31.37423475,0.687855903
135,121.5112945,31.3737478,0.5991875
136,121.5110918,31.37326486,0.315664063
137,121.5110161,31.3727456,0.594001736
138,121.5109375,31.37222967,0.519532987
139,121.5106977,31.37177098,0.620728299
140,121.5132812,31.37622355,0.130264757
141,121.512793,31.37641849,0.265954861
142,121.5123205,31.37664887,0.052075522
143,121.5142236,31.37577954,0.145813367
144,121.5146797,31.37552111,0.648470486
145,121.5151497,31.37528585,0.601666667
146,121.5156212,31.37505365,0.35699566
147,121.5160759,31.37479373,0.09041059
148,121.5165452,31.37456321,0.158159723
149,121.5170105,31.37432456,0.211703125
150,121.5174927,31.37411692,0.232581597
151,121.5179732,31.37390908,0.233001735
152,121.5184966,31.37386657,0.319180556
153,121.5190212,31.37384371,0.099959201
154,121.5195353,31.37393535,0.036719618
